index_x,index_y,index_z,middle_x,middle_y,middle_z,ring_x,ring_y,ring_z,lable
6.207066871,12.81402748,1.076103718,5.310261162,62.21523861,-0.120478391,3.25639777,63.24609544,-0.264124033,X
6.21313669,12.87275732,1.076381904,5.315834213,62.49371687,-0.120643694,3.259562356,63.53486599,-0.264267812,X
6.229664053,13.11060351,1.076504588,5.330354909,63.64420073,-0.120789604,3.268246851,64.70969355,-0.264377139,X
6.24519167,13.3463885,1.076614297,5.344042109,64.78637874,-0.120940389,3.276441286,65.87593211,-0.26449242,X
6.25012105,13.44489974,1.076936266,5.348673918,65.26435603,-0.121116704,3.279115242,66.36645608,-0.264666068,X
6.256248136,13.53447552,1.07725497,5.354347892,65.70139049,-0.121295708,3.282458634,66.81497824,-0.264845584,X
6.261687121,13.6169902,1.07753751,5.359453651,66.10467038,-0.121470788,3.285486664,67.2288103,-0.265020342,X
6.26667272,13.73071779,1.077800676,5.364194655,66.66085793,-0.121647376,3.288323876,67.79780573,-0.265197026,X
6.272329341,13.90809653,1.078152177,5.369545512,67.52361403,-0.121831522,3.291567423,68.67820037,-0.265397243,X
6.258717329,14.40344168,1.07893254,5.358411231,69.93242747,-0.122068514,3.284738236,71.13081241,-0.26571021,X
6.247857693,14.87310659,1.079491669,5.349608512,72.21868112,-0.122277099,3.2793695,73.45841305,-0.265968889,X
6.228249729,15.34010274,1.08031894,5.333315109,74.49324872,-0.1225182,3.26944022,75.77381397,-0.266298657,X
6.217919786,15.68412537,1.08070755,5.324969455,76.17124749,-0.122709004,3.264398377,77.48233447,-0.266520227,X
